"Term","Overlap","Adjusted.P.value","Genes","P"
"axon (GO:0030424)","24/141",4.03587904607216e-14,"APP;CNTNAP2;NTRK2;PTPRS;DSCAM;KCNC1;NTRK3;KCNA2;ATP1A3;KCNA6;SRCIN1;DNM1;DNM3;OLFM1;PAK1;ATCAY;SYT11;MAP1B;NEFL;ADGRL1;KIF1B;KIF1A;MAPT;CDK5R1","dendrite (GO:0030425);microtubule binding (GO:0008017);microtubule cytoskeleton (GO:0015630);tubulin binding (GO:0015631);neuron development (GO:0048666);perinuclear region of cytoplasm (GO:0048471);neuron projection development (GO:0031175);microtubule (GO:0005874);plasma membrane bounded cell projection organization (GO:0120036);polymeric cytoskeletal fiber (GO:0099513);positive regulation of microtubule polymerization (GO:0031116);positive regulation of protein polymerization (GO:0032273)"
"Neuronal System Homo sapiens R-HSA-112316","30/301",8.14830853890142e-11,"CAMK2B;RTN3;SNAP25;PTPRS;KCNC1;STXBP1;KCNA2;ABAT;KCNA6;EPB41L1;TSPAN7;NEFL;HRAS;CAMK2G;GABRQ;CHRNB2;NSF;GABRA1;SYT1;AP2B1;KCNAB2;SYN2;SYN1;ARHGEF9;CAMK4;DNAJC5;KCNQ2;KCNMA1;GNB1;VAMP2","Neuronal system;Transmission across Chemical Synapses Homo sapiens R-HSA-112315;Transmission across chemical synapses;Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell Homo sapiens R-HSA-112314;chemical synaptic transmission (GO:0007268);GABAergic synapse;anterograde trans-synaptic signaling (GO:0098916);GABA A receptor activation Homo sapiens R-HSA-977441;Gamma-aminobutyric acid receptor life cycle;Nicotine addiction"
"Synaptic vesicle cycle","15/77",2.89364731650848e-09,"NSF;ATP6V1A;SNAP25;ATP6V0B;SYT1;STXBP1;AP2B1;DNM1;DNM3;STX1B;ATP6V1B2;SLC17A6;ATP6V0E2;VAMP2;ATP6V0A1","Ion channel transport Homo sapiens R-HSA-983712;Transmembrane transport of small molecules Homo sapiens R-HSA-382551;hydrogen-exporting ATPase activity (GO:0036442);Insulin receptor recycling Homo sapiens R-HSA-77387;ion transport (GO:0006811);Epithelial cell signaling in Helicobacter pylori infection;Transferrin endocytosis and recycling Homo sapiens R-HSA-917977;Iron uptake and transport Homo sapiens R-HSA-917937;hydrogen ion transmembrane transporter activity (GO:0015078);ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769);Signaling by insulin receptor;proton-transporting ATPase activity, rotational mechanism (GO:0046961);regulation of autophagy (GO:0010506);transmembrane transport (GO:0055085);regulation of macroautophagy (GO:0016241);protein transport (GO:0015031);ion transmembrane transport (GO:0034220);Vibrio cholerae infection;Transmembrane transport of small molecules;insulin receptor signaling pathway (GO:0008286);cellular response to insulin stimulus (GO:0032869);Phagosome;transferrin transport (GO:0033572);ferric iron transport (GO:0015682);Transferrin endocytosis and recycling;ROS, RNS production in response to bacteria Homo sapiens R-HSA-1222556;phagosome acidification (GO:0090383);Latent infection of Homo sapiens with Mycobacterium tuberculosis;Iron uptake and transport;proton transport (GO:0015992);Collecting duct acid secretion;phagosome maturation (GO:0090382);intracellular pH reduction (GO:0051452);Lysosome;Rheumatoid arthritis;inorganic cation transmembrane transport (GO:0098662);hydrogen ion transmembrane transport (GO:1902600);phagocytic vesicle (GO:0045335);phagocytic vesicle membrane (GO:0030670)"
"main axon (GO:0044304)","10/33",2.10915896746054e-08,"CNTNAP2;CNTNAP1;SCN8A;KCNA2;KCNQ2;THY1;KCNAB2;ANK3;MAPT;SPTBN1","axolemma (GO:0030673);juxtaparanode region of axon (GO:0044224)"
"Axon guidance Homo sapiens R-HSA-422475","34/515",6.46387842221723e-08,"CAMK2B;CNTNAP1;YWHAB;PITPNA;ARRB1;FGF1;ACTB;PSMB6;PPP2CA;PAK1;PSMB2;PPP2R1A;PSMB3;NEFL;HRAS;SPTAN1;CAMK2G;SPTBN1;PLXNA4;SCN1A;EPHA5;ACTR2;ANK2;ANK3;AP2B1;DNM1;ENAH;DNM3;PSMA6;SCN8A;KCNQ2;CNTN1;SCN2B;CDK5R1","L1CAM interactions Homo sapiens R-HSA-373760;L1CAM interactions;Axon guidance;Developmental Biology Homo sapiens R-HSA-1266738;Developmental biology;axonogenesis (GO:0007409);cadherin binding (GO:0045296);axon guidance (GO:0007411)"
"Signaling by Insulin receptor Homo sapiens R-HSA-74752","25/311",2.39954675786003e-07,"ATP6V1A;CAMK2B;CAB39;YWHAB;ARRB1;FGF1;PPP2CA;PSMB6;PSMB2;PPP2R1A;PSMB3;AKT1;NEFL;ATP6V0E2;HRAS;SPTAN1;CAMK2G;SPTBN1;ATP6V0A1;ATP6V0B;ATP6AP1;PSMA6;PPM1A;RHEB;ATP6V1B2","VEGFA-VEGFR2 Pathway Homo sapiens R-HSA-4420097;Signaling by EGFR Homo sapiens R-HSA-177929;Signaling by VEGF Homo sapiens R-HSA-194138;Downstream signaling of activated FGFR2 Homo sapiens R-HSA-5654696;Downstream signaling of activated FGFR4 Homo sapiens R-HSA-5654716;Downstream signaling of activated FGFR3 Homo sapiens R-HSA-5654708;Signaling by FGFR4 Homo sapiens R-HSA-5654743;Downstream signaling of activated FGFR1 Homo sapiens R-HSA-5654687;Signaling by FGFR3 Homo sapiens R-HSA-5654741;Immune System Homo sapiens R-HSA-168256;Signaling by FGFR1 Homo sapiens R-HSA-5654736;Fc epsilon receptor (FCERI) signaling Homo sapiens R-HSA-2454202;IRS-mediated signalling Homo sapiens R-HSA-112399;Downstream signal transduction Homo sapiens R-HSA-186763;Insulin receptor signalling cascade Homo sapiens R-HSA-74751;IGF1R signaling cascade Homo sapiens R-HSA-2428924;Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) Homo sapiens R-HSA-2404192;IRS-related events triggered by IGF1R Homo sapiens R-HSA-2428928;DAP12 signaling Homo sapiens R-HSA-2424491;DAP12 interactions Homo sapiens R-HSA-2172127;Signaling by FGFR2 Homo sapiens R-HSA-5654738;Signaling by PDGF Homo sapiens R-HSA-186797;Signaling by FGFR Homo sapiens R-HSA-190236;FCERI mediated MAPK activation Homo sapiens R-HSA-2871796;Innate Immune System Homo sapiens R-HSA-168249;ARMS-mediated activation Homo sapiens R-HSA-170984;Disease;Prolonged ERK activation events Homo sapiens R-HSA-169893;Signaling by ERBB4 Homo sapiens R-HSA-1236394;VEGFR2 mediated cell proliferation Homo sapiens R-HSA-5218921;Signalling to ERKs Homo sapiens R-HSA-187687;MAPK family signaling cascades Homo sapiens R-HSA-5683057;Interleukin-3, 5 and GM-CSF signaling Homo sapiens R-HSA-512988;GRB2 events in EGFR signaling Homo sapiens R-HSA-179812;SHC1 events in EGFR signaling Homo sapiens R-HSA-180336;SOS-mediated signalling Homo sapiens R-HSA-112412;SHC1 events in ERBB4 signaling Homo sapiens R-HSA-1250347;RAF/MAP kinase cascade Homo sapiens R-HSA-5673001;FRS-mediated FGFR2 signaling Homo sapiens R-HSA-5654700;FRS-mediated FGFR4 signaling Homo sapiens R-HSA-5654712;FRS-mediated FGFR3 signaling Homo sapiens R-HSA-5654706;FRS-mediated FGFR1 signaling Homo sapiens R-HSA-5654693;Signaling by SCF-KIT Homo sapiens R-HSA-1433557;Signalling to p38 via RIT and RIN Homo sapiens R-HSA-187706;Frs2-mediated activation Homo sapiens R-HSA-170968;MAPK1/MAPK3 signaling Homo sapiens R-HSA-5684996;Signaling by Leptin Homo sapiens R-HSA-2586552;Interleukin receptor SHC signaling Homo sapiens R-HSA-912526;Signalling to RAS Homo sapiens R-HSA-167044;Interleukin-2 signaling Homo sapiens R-HSA-451927;NCAM signaling for neurite out-growth Homo sapiens R-HSA-375165;Regulation of mRNA stability by proteins that bind AU-rich elements Homo sapiens R-HSA-450531;Gastrin-CREB signalling pathway via PKC and MAPK Homo sapiens R-HSA-881907;Apoptosis Homo sapiens R-HSA-109581;Programmed Cell Death Homo sapiens R-HSA-5357801;Infectious disease Homo sapiens R-HSA-5663205;mRNA stability regulation by proteins that bind AU-rich elements;Degradation of beta-catenin by the destruction complex Homo sapiens R-HSA-195253;Downstream signaling events of B Cell Receptor (BCR) Homo sapiens R-HSA-1168372;Signaling by Interleukins Homo sapiens R-HSA-449147;Signaling by the B Cell Receptor (BCR) Homo sapiens R-HSA-983705;Proteasome complex;HIF-1 degradation in normoxia;C-type lectin receptors (CLRs) Homo sapiens R-HSA-5621481;Signal Transduction Homo sapiens R-HSA-162582;non-canonical Wnt signaling pathway (GO:0035567);regulation of mRNA stability (GO:0043488);Apoptosis;Degradation of beta-catenin by the destruction complex;Downstream signaling events Of B cell receptor (BCR);proteasomal ubiquitin-independent protein catabolic process (GO:0010499);Signaling by Wnt Homo sapiens R-HSA-195721;Beta-catenin independent WNT signaling Homo sapiens R-HSA-3858494;Hedgehog ligand biogenesis Homo sapiens R-HSA-5358346;ER-Phagosome pathway Homo sapiens R-HSA-1236974;MAPK6/MAPK4 signaling Homo sapiens R-HSA-5687128;Proteasome degradation;polysome (GO:0005844);Regulation of RAS by GAPs Homo sapiens R-HSA-5658442;Proteasome;Disease Homo sapiens R-HSA-1643685;CLEC7A (Dectin-1) signaling Homo sapiens R-HSA-5607764"
"Alzheimer disease","18/175",7.07207095370952e-07,"APP;RTN3;NDUFB10;NDUFB6;NDUFB11;ATP2A2;NDUFC2;ATP5H;SDHB;PPP3CB;PLCB4;GNAQ;NDUFS5;NDUFAB1;NDUFS3;MAPT;CALM2;CDK5R1","Oxidative phosphorylation;Alzheimer's disease;Huntington disease;Retrograde endocannabinoid signaling;Huntington's disease;The citric acid (TCA) cycle and respiratory electron transport Homo sapiens R-HSA-1428517;Complex I biogenesis Homo sapiens R-HSA-6799198;Tricarboxylic acid (TCA) cycle and respiratory electron transport;Parkinson disease;Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins;mitochondrial respiratory chain complex I (GO:0005747);Parkinson's disease;mitochondrial electron transport, NADH to ubiquinone (GO:0006120);Non-alcoholic fatty liver disease (NAFLD);Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. Homo sapiens R-HSA-163200;Respiratory electron transport Homo sapiens R-HSA-611105;Electron transport chain;mitochondrion (GO:0005739);NADH dehydrogenase (ubiquinone) activity (GO:0008137);NADH dehydrogenase (quinone) activity (GO:0050136);Thermogenesis;NADH dehydrogenase complex assembly (GO:0010257);mitochondrial respiratory chain complex I biogenesis (GO:0097031);mitochondrial respiratory chain complex I assembly (GO:0032981);respiratory electron transport chain (GO:0022904);mitochondrial ATP synthesis coupled electron transport (GO:0042775);Metabolism Homo sapiens R-HSA-1430728;mitochondrial respiratory chain complex assembly (GO:0033108)"
"Neurotoxicity of clostridium toxins Homo sapiens R-HSA-168799","6/10",1.04171193537269e-06,"SNAP25;STX1B;SYT1;SV2A;VAMP1;VAMP2","Uptake and actions of bacterial toxins Homo sapiens R-HSA-5339562;Dopamine neurotransmitter release cycle;syntaxin-1 binding (GO:0017075);Neurotransmitter release cycle;Serotonin Neurotransmitter Release Cycle Homo sapiens R-HSA-181429;GABA synthesis, release, reuptake and degradation Homo sapiens R-HSA-888590;GABA biosynthesis, release, reuptake and degradation;Dopamine Neurotransmitter Release Cycle Homo sapiens R-HSA-212676;Neurotransmitter Release Cycle Homo sapiens R-HSA-112310;Botulinum neurotoxicity;Toxicity of botulinum toxin type D (BoNT/D) Homo sapiens R-HSA-5250955;Toxicity of botulinum toxin type F (BoNT/F) Homo sapiens R-HSA-5250981;Acetylcholine neurotransmitter release cycle;Norepinephrine neurotransmitter release cycle;Acetylcholine Neurotransmitter Release Cycle Homo sapiens R-HSA-264642;Norepinephrine Neurotransmitter Release Cycle Homo sapiens R-HSA-181430;regulation of exocytosis (GO:0017157);Glutamate neurotransmitter release cycle;regulation of secretion by cell (GO:1903530);clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane (GO:0061202);clathrin-sculpted gamma-aminobutyric acid transport vesicle (GO:0061200);Glutamate Neurotransmitter Release Cycle Homo sapiens R-HSA-210500;Vasopressin-regulated water reabsorption;Lysosome Vesicle Biogenesis Homo sapiens R-HSA-432720;Blockade of neurotransmitter release by botulinum toxin;SNARE interactions in vesicular transport;trans-Golgi network (GO:0005802)"
"Signalling by NGF Homo sapiens R-HSA-166520","29/450",1.04171193537269e-06,"CAMK2B;GSK3A;AHCYL1;YWHAB;ARRB1;FGF1;PSMB6;PPP2CA;ABR;PSMB2;PPP2R1A;PSMB3;AKT1;NEFL;HRAS;SPTAN1;CAMK2G;SPTBN1;NTRK2;KIDINS220;PRKCE;AP2B1;DNM1;DNM3;PSMA6;ARHGEF9;AGO1;CAMK4;ARHGEF4","NGF signalling via TRKA from the plasma membrane Homo sapiens R-HSA-187037;transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169);NGF signaling via TRKA from the plasma membrane;Signaling by NGF;Signaling by FGFR in disease;Signaling by EGFR in cancer;Signal transduction;Phospholipase C-mediated cascade; FGFR3 Homo sapiens R-HSA-5654227;Phospholipase C-mediated cascade; FGFR4 Homo sapiens R-HSA-5654228"
"Dopaminergic synapse","15/135",2.34170466484069e-06,"CAMK2B;GSK3A;PPP2CA;MAPK9;PPP3CB;PLCB4;PPP2R2C;PPP2R1A;GNAQ;KIF5A;GNB1;AKT1;CALM2;CAMK2G;SCN1A","Ras activation uopn Ca2+ infux through NMDA receptor Homo sapiens R-HSA-442982;regulation of long-term neuronal synaptic plasticity (GO:0048169);Post NMDA receptor activation events Homo sapiens R-HSA-438064;Ras activation upon calcium influx through NMDA receptor;Activation of NMDA receptor upon glutamate binding and postsynaptic events Homo sapiens R-HSA-442755;Activation of NMDA receptor upon glutamate binding and postsynaptic events;Phase 0 - rapid depolarisation Homo sapiens R-HSA-5576892;CREB phosphorylation through the activation of Ras Homo sapiens R-HSA-442742;Tuberculosis;peptidyl-serine phosphorylation (GO:0018105);Wnt signaling pathway;CREB phosphorylation through the activation of CaMKII Homo sapiens R-HSA-442729;Stathmin and breast cancer resistance to antimicrotubule agents;Unblocking of NMDA receptor, glutamate binding and activation Homo sapiens R-HSA-438066;regulation of neuronal synaptic plasticity (GO:0048168);Unblocking of NMDA receptor, glutamate binding and activation;peptidyl-serine modification (GO:0018209);peptidyl-threonine phosphorylation (GO:0018107);regulation of synapse organization (GO:0050807);Antigen-activated B-cell receptor generation of second messengers;protein phosphorylation (GO:0006468)"
