"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"2200002D01Rik",0,-97.0375564281074,0.28,0.615,0
"Actn4",0,-62.5812502703319,0.47,0.739,0
"Ahnak",0,16.2763740604278,0.495,0.859,0
"Akr1b8",0,-100.120512330546,0.069,0.438,0
"Anxa8",0,-25.0374537805017,0.039,0.422,0
"Arl4c",0,-28.3402724170624,0.254,0.625,0
"Atrx",0,-6.55561412619486,0.492,0.821,0
"Bag1",0,-65.8103299511944,0.592,0.842,0
"Cbr2",0,Inf,0.496,0.119,0
"Ccnd1",0,-43.1019885435126,0.234,0.603,0
"Ccnd2",0,-246.995618574072,0.492,0.784,0
"Cd24a",0,-73.548630646303,0.221,0.572,0
"Cd2ap",0,-56.4252912792299,0.199,0.693,0
"Cdc42ep5",0,-15.8341155624845,0.176,0.524,0
"Cggbp1",0,-5.67328403384902,0.258,0.616,0
"Chchd2",0,-201.94848909895,0.968,0.995,0
"Cldn4",0,-29.4767080835601,0.041,0.353,0
"Clu",0,-Inf,0.111,0.724,0
"Cyp2s1",0,-12.7062055420787,0.034,0.343,0
"Dstn",0,-58.9647253923708,0.856,0.953,0
"Eif4g2",0,-16.3452242306868,0.644,0.891,0
"Ffar4",0,-13.9761612913013,0.015,0.29,0
"Foxq1",0,-63.5741481899097,0.075,0.498,0
"Fxyd3",0,-133.186123943341,0.185,0.558,0
"Fxyd6",0,-28.8286801034099,0.028,0.32,0
"Gsta4",0,-435.704365751388,0.15,0.529,0
"Gsto1",0,-Inf,0.184,0.617,0
"Hist1h1e",0,-44.3840574111973,0.044,0.525,0
"Hnrnpab",0,-59.0072299904512,0.624,0.862,0
"Hp1bp3",0,-10.3409518767497,0.441,0.764,0
"Il18",0,-51.22099428,0.016,0.298,0
"Itgb1",0,-8.96473884226541,0.64,0.913,0
"Krt19",0,-457.305511523614,0.238,0.631,0
"Lad1",0,-7.59715250187932,0.011,0.353,0
"Lgals3",0,-173.081352024633,0.243,0.63,0
"Lgi3",0,9.65170847621102,0.397,0.071,0
"Lrrc26",0,2.21758353114968,0.009,0.281,0
"Lurap1l",0,-51.1421422636051,0.297,0.621,0
"Ly6e",0,-101.004714694899,0.443,0.734,0
"Mal",0,-143.855223361927,0.182,0.579,0
"Msln",0,-205.016399310886,0.056,0.548,0
"Myof",0,-12.3291011511498,0.158,0.53,0
"Ncl",0,-51.847078095959,0.663,0.927,0
"Nedd4",0,-27.475442752596,0.66,0.903,0
"Nkx2-1",0,-5.60463029027396,0.476,0.1,0
"Pabpc1",0,-29.2607862997433,0.702,0.911,0
"Pafah1b1",0,-10.8394398522618,0.454,0.802,0
"Perp",0,-36.1109791484629,0.104,0.449,0
"Phgr1",0,-57.0362550436473,0.009,0.262,0
"Plet1",0,-2.89610480538657,0.035,0.342,0
"Plpp2",0,-16.4298941667349,0.121,0.475,0
"Ppp1r14b",0,-65.9257905548472,0.254,0.616,0
"Prpf4b",0,-3.47276730083569,0.311,0.672,0
"Prrc2c",0,-10.1081734589838,0.462,0.833,0
"Ptma",0,-546.752426024022,0.993,1,0
"Ptp4a2",0,-42.0215238117185,0.484,0.802,0
"Rock2",0,-5.06451625104915,0.199,0.58,0
"Rps2",0,-513.570618118276,0.983,0.999,0
"Rps27l",0,-195.382142540374,0.875,0.971,0
"S100a11",0,-Inf,0.936,0.984,0
"S100a6",0,-Inf,0.515,0.886,0
"Scaf11",0,-7.76470786305108,0.289,0.666,0
"Scara3",0,-35.2022235514437,0.027,0.387,0
"Set",0,-61.0607451409236,0.587,0.876,0
"Sftpa1",0,152.954490934779,0.589,0.142,0
"Sftpb",0,83.7051288099025,0.596,0.176,0
"Slk",0,-8.43550215644061,0.168,0.517,0
"Sorbs2",0,-38.2861364067478,0.012,0.341,0
"Spp1",0,-230.795401977628,0.007,0.318,0
"Sprr1a",0,-732.860198173204,0.001,0.499,0
"Sprr2a3",0,-275.525936359099,0.001,0.246,0
"Srrm1",0,-16.0501554071804,0.472,0.776,0
"Srrm2",0,-24.1611238454008,0.698,0.898,0
"Syt8",0,-9.79257137967769,0.001,0.266,0
"Tff2",0,-206.276573209285,0.001,0.294,0
"Tnfrsf12a",0,-43.2259584441025,0.242,0.622,0
"Tpr",0,-14.4095646771902,0.405,0.792,0
"Wasf2",0,-12.7646662944229,0.394,0.742,0
"Ybx1",0,-60.5548892026531,0.874,0.985,0
"mt-Atp8",0,-20.9024199707741,0.179,0.631,0
"mt-Nd4l",0,-18.4208346085188,0.323,0.711,0
"mt-Nd5",0,-32.7397676835433,0.734,0.923,0
"Smarca5",3.2114266979681e-322,-6.96238269893807,0.25,0.604,8.99135246897109e-318
"Mboat1",1.09682573376757e-321,-3.73681232207654,0.035,0.324,3.07089268940244e-317
"Setd8",5.05429155695595e-321,-13.513274390368,0.139,0.476,1.41510055011653e-316
"Krt18",1.38239567706381e-320,-142.728161592544,0.339,0.621,3.87043141664325e-316
"Nap1l1",1.2426146245424e-318,-23.0564768964786,0.491,0.8,3.47907242579382e-314
"Timp2",7.41970000561134e-318,-25.4796198778306,0.502,0.813,2.07736760757106e-313
"Cdh1",4.9937803729159e-317,-46.2085936782458,0.319,0.573,1.39815862880899e-312
"Serbp1",3.27010134118943e-316,-52.227718024833,0.758,0.926,9.15562973506218e-312
"Thbs1",4.45029877524326e-316,-118.174766986082,0.255,0.61,1.24599465109261e-311
"Wapl",1.12234965909737e-315,-3.43584336066856,0.2,0.553,3.14235457554082e-311
"Cystm1",8.17881551835573e-314,-145.680096162236,0.475,0.662,2.28990476882924e-309
"Ezr",1.0389499841584e-309,-68.1879130094944,0.463,0.666,2.90885216564668e-305
"Pla2g10",3.06049586308342e-309,-25.3673844635849,0,0.212,8.56877631746095e-305
"Eif3a",3.23038944946037e-309,-12.2754363034951,0.462,0.759,9.04444438059914e-305
"Mpzl2",1.5231707329438e-308,-2.70661929351921,0.021,0.282,4.26457341809605e-304
"Gcc2",2.80940387898194e-308,-4.26868110576666,0.177,0.521,7.86576898037365e-304
"Hmgn1",5.56474006249856e-307,-91.9330451430337,0.829,0.948,1.55801592269835e-302
"Pkn2",7.27862874682918e-307,-6.83893966263976,0.326,0.661,2.03787047653723e-302
"1700020I14Rik",5.17698055934809e-306,-4.73746796435199,0.316,0.661,1.44945101700628e-301
"Psca",5.42337955135952e-306,-65.7519003279779,0.001,0.213,1.51843780678964e-301
"Tes",1.31067079120294e-305,-15.5562358249762,0.16,0.486,3.66961608120999e-301
"Klf3",7.58587955041745e-305,-24.652033960979,0.322,0.652,2.12389455652588e-300
"Lima1",1.64136293707708e-303,-9.2582168958139,0.233,0.568,4.5954879512284e-299
"Adam10",1.62392567397434e-302,-10.2602532532181,0.222,0.561,4.54666710199337e-298
"Cdv3",7.155127409961e-302,-17.0991342556741,0.332,0.657,2.00329257224088e-297
"S100a10",9.64514282562041e-302,-53.3509000746971,0.716,0.893,2.7004470883172e-297
"Nhp2",1.28029657388628e-301,-44.3680913135558,0.323,0.647,3.58457434756681e-297
"Hdgf",2.11301867767013e-301,-28.9358933412249,0.65,0.846,5.91602969374082e-297
"Krt8",7.44772143787696e-301,-272.64054623007,0.325,0.626,2.08521304817679e-296
"Thrap3",2.33150694302388e-300,-4.25474468331708,0.284,0.622,6.52775313907827e-296
"Gm20186",2.67730610622019e-300,-12.6532196702465,0.036,0.313,7.4959216361953e-296
"Tm9sf3",8.88162663754467e-300,-14.2013503708976,0.441,0.749,2.48667782597976e-295
"Hmgcs2",8.70391068205281e-299,-30.5269826073065,0.055,0.349,2.43692091276115e-294
"Slc34a2",5.08404951837089e-298,92.2909367469283,0.421,0.091,1.42343218415348e-293
"Ctse",1.4267493309508e-297,-20.0656968335684,0.003,0.219,3.99461277679606e-293
"Rpl19",1.70689644264658e-297,-343.258933742247,0.997,1,4.77896866012188e-293
"Ano1",9.60670293068724e-297,-16.8310051813207,0.153,0.484,2.68968468653381e-292
"Rpl32",3.17381756734128e-296,-Inf,0.994,1,8.88605442504212e-292
"Erbb2ip",9.43410524347812e-296,-6.62413560271775,0.195,0.535,2.641360786069e-291
"Rpl12",1.94257699840137e-295,-142.80156426806,0.981,0.997,5.43882708012416e-291
"Ctnna1",7.87544394792489e-295,-20.1221661206,0.523,0.78,2.20496679654001e-290
"Ywhaz",1.17685422240024e-294,-22.3458348481581,0.536,0.795,3.29495645187618e-290
"Ptbp3",1.72994716305029e-294,-20.9787077216104,0.343,0.648,4.8435060671082e-290
"Tmem54",6.63692413552758e-294,-25.3383730397624,0.004,0.222,1.85820601946501e-289
"Nfib",2.26988427333903e-293,-21.8157950670058,0.541,0.832,6.35522198849461e-289
"Gm5900",1.00410774169255e-292,0.629673630894197,0.213,0.002,2.81130085519081e-288
"Rpl23",6.08828483870132e-292,-432.779493121664,0.998,1,1.7045979891396e-287
"Cstb",1.00245930739038e-290,-60.111478636005,0.663,0.841,2.80668556883158e-286
"Rpl14",1.61049477357178e-289,-409.695251174264,0.992,0.999,4.50906326704626e-285
"Ctnnd1",1.03470749404422e-288,-15.9897067381914,0.288,0.599,2.89697404182501e-284
"Sdcbp2",1.06758757126471e-288,-8.12457823997798,0.006,0.226,2.98903168202694e-284
"Far1",2.77183695305098e-288,-15.5477782851308,0.181,0.503,7.76058910115213e-284
"Hint1",1.0289396633199e-287,-204.670053268835,0.866,0.97,2.88082526936306e-283
"Paics",1.64642617723689e-287,-17.5178708992176,0.349,0.635,4.60966401102786e-283
"Sema3c",3.72208029509389e-287,-11.9876429992062,0.267,0.628,1.04210804102039e-282
"Csnk1a1",4.56679369753987e-287,-9.64149088424518,0.635,0.868,1.27861089943721e-282
"Caprin1",1.36025312415759e-286,-5.41041939066786,0.277,0.609,3.80843669701643e-282
"Cab39",1.37243723052805e-286,-11.5809806760313,0.269,0.587,3.84254975803242e-282
"Nsd1",5.47718916778592e-286,-2.26554500108715,0.208,0.538,1.5335034231967e-281
"Tacstd2",7.02249260735025e-286,-21.361058546735,0.134,0.467,1.96615748020592e-281
"Lpp",7.33049111071253e-286,-8.39444184244438,0.337,0.67,2.05239090117729e-281
"Hsp90ab1",1.44008751088651e-285,-290.386097447161,0.945,0.989,4.03195701298006e-281
"Cdh13",1.9733595429446e-285,1.91034734001065,0.049,0.331,5.52501204833629e-281
"Erh",1.58287357114292e-284,-111.02215078829,0.75,0.917,4.43172942448594e-280
"Dsp",1.89300978729008e-284,-8.02362346559893,0.085,0.377,5.30004880245475e-280
"Rnf128",3.83569770726377e-284,-3.34814379511648,0.012,0.244,1.07391864407971e-279
"Pdzk1ip1",3.61147113200645e-283,-232.366918180037,0.219,0.538,1.01113968753917e-278
"Stard10",6.64439226768131e-283,-40.1568554256848,0.231,0.519,1.86029694710541e-278
"Rpl29",1.12798811693797e-282,-298.608850104365,0.99,0.999,3.15814112980294e-278
"Nucks1",4.83319052691908e-282,-42.2516164568993,0.408,0.726,1.3531966837268e-277
"Hdlbp",5.77148987924267e-282,-8.69665489097453,0.378,0.68,1.61590173639036e-277
"Llph",6.43510400198714e-281,-13.8049803845303,0.417,0.701,1.80170041847636e-276
"Fam32a",1.04918922007723e-280,-12.2101564112175,0.379,0.678,2.93751997837224e-276
"Pgap2",2.1526699220233e-280,-9.18604253037092,0.243,0.548,6.02704524768083e-276
"Golim4",5.7713048828667e-278,-8.37075851983966,0.268,0.599,1.61584994110502e-273
"Rpl7",7.63372187407694e-278,-240.901189884296,0.99,0.999,2.13728945030406e-273
"Dhx9",3.64021911810336e-277,-5.77480911778045,0.176,0.5,1.01918854868658e-272
"Sptbn1",3.8838026777031e-277,-9.72727734239825,0.679,0.877,1.08738707370331e-272
"Lyz2",3.21896614041645e-276,-Inf,0.559,0.201,9.01246139993796e-272
"Rdh10",9.37950007055561e-276,-31.9417770488789,0.093,0.384,2.62607242975416e-271
"Pcbd1",1.598676668213e-275,-23.0687760976095,0.212,0.505,4.47597493566275e-271
"Rps16",1.24209889747809e-274,-490.461312493563,0.995,1,3.47762849315915e-270
"Prelid1",2.32761805989609e-274,-27.0203025750818,0.572,0.817,6.51686504409708e-270
"Npm1",3.8801784067473e-274,-233.684208010039,0.846,0.96,1.08637235032111e-269
"Rab25",6.48424380873062e-273,-18.6536549413441,0.246,0.524,1.8154585815684e-268
"Mbnl1",1.61578005649491e-272,-13.3845435667572,0.425,0.713,4.52386100217444e-268
"Myh9",1.94036828356485e-272,-8.25233303659564,0.333,0.638,5.43264312032486e-268
"Id1",3.21272601802169e-272,-55.871346041581,0.474,0.736,8.99499030525712e-268
"Eif1ax",9.57691621658418e-272,-28.0718295693121,0.477,0.753,2.68134500231924e-267
"Polr1d",1.71589686731928e-271,-40.2719598862063,0.719,0.877,4.80416804912053e-267
"Anxa1",5.2888240797924e-271,-74.9649544087366,0.337,0.653,1.48076496586028e-266
"Gm42418",1.02781155268606e-270,-253.885465187972,0.539,0.831,2.87766678521044e-266
"Rpsa",1.14540847809408e-270,-193.318500420104,0.956,0.994,3.20691465696781e-266
"Cox6b1",2.02970147221038e-270,-191.368285560095,0.911,0.974,5.68275818189461e-266
"5730559C18Rik",4.58733447575228e-270,-3.22147692650817,0.028,0.274,1.28436190652112e-265
"Pdap1",1.03142992476788e-269,-38.5574209642822,0.553,0.809,2.88779750336511e-265
"Rpl24",2.54021440851411e-269,-292.838202071973,0.997,1,7.11209230095781e-265
"Cltb",3.54828602642361e-269,-19.1159922859754,0.425,0.695,9.93449121678083e-265
"Csde1",4.7103280803609e-269,-10.878134463907,0.475,0.749,1.31879765593944e-264
"Cttn",1.0769211145261e-267,-14.23615926155,0.318,0.608,3.01516373645019e-263
"Mmp14",4.68555413647059e-267,-8.42851844401549,0.332,0.658,1.31186144712904e-262
"2900026A02Rik",2.87887046713102e-266,-3.53514918024815,0.056,0.328,8.06026153387344e-262
"Atpif1",7.2254608143661e-266,-170.204987235445,0.899,0.973,2.02298451880622e-261
"Sptssb",4.34497431765008e-265,-27.8649701871349,0.011,0.229,1.21650590945567e-260
"Hist1h1c",5.05963490480367e-265,-108.562694183847,0.129,0.445,1.41659658064693e-260
"Rpl13",7.30430766035565e-265,-476.060457464223,0.996,1,2.04506005874638e-260
"Tma7",8.21463761741489e-265,-84.3729648801848,0.84,0.945,2.29993424012382e-260
"Prr15l",2.22953084288549e-264,-12.3840122049119,0.238,0.527,6.24224045391079e-260
"Cox6a1",2.55607736626611e-264,-177.061916910748,0.922,0.983,7.15650541007185e-260
"Rps13",5.606418428444e-264,-324.567879561692,0.983,0.999,1.56968503159575e-259
"Rab27b",1.26840720700822e-263,-11.34075589004,0.213,0.502,3.55128649818161e-259
"Lasp1",9.78215918489548e-263,-10.551180262829,0.336,0.639,2.73880892858704e-258
"Adss",1.94855374687319e-262,-7.1865644144185,0.238,0.539,5.45556078049555e-258
"0610040J01Rik",3.47136195230196e-262,-4.70130087632816,0.079,0.354,9.71911919405502e-258
"Top2b",8.91230007112107e-262,-2.59704715634238,0.28,0.591,2.49526577391248e-257
"Tff1",1.99177120800813e-261,-329.764137272382,0,0.184,5.57656102818117e-257
"Kcnj15",3.09598588011101e-261,-10.515393429138,0.111,0.4,8.6681412671348e-257
"Eef1b2",7.48978546237515e-261,-98.0743668281539,0.846,0.961,2.0969901337558e-256
"Rps11",7.73471729393493e-261,-366.415723947602,0.996,1,2.1655661479559e-256
"Nme1",2.61069168670073e-260,-126.392290287734,0.526,0.769,7.30941458442472e-256
"Smarcc1",3.53625505585562e-260,-3.13024696468465,0.154,0.459,9.90080690538457e-256
"Timm8b",8.17215261413502e-260,-53.4248167284766,0.565,0.784,2.28803928890552e-255
"Phldb2",9.67503191782255e-260,-9.50545039670491,0.344,0.642,2.70881543635196e-255
"Nfe2l2",1.61697880262422e-259,-38.7140445810255,0.371,0.637,4.52721725158728e-255
"Rnf10",3.57483010349692e-259,-6.38691947322146,0.459,0.729,1.00088093237707e-254
"Rplp1",3.83531372181085e-259,-503.923628409139,0.998,1,1.0738111358326e-254
"Luzp1",1.02803015159259e-258,-4.10718794673248,0.31,0.636,2.87827881842893e-254
"Elf3",1.10129008337742e-258,-33.0976603444435,0.087,0.364,3.08339197544011e-254
"Pbrm1",1.6086658179221e-258,-9.27611015852803,0.429,0.717,4.50394255701828e-254
"Timm13",2.48350254283505e-258,-43.1525158216528,0.679,0.838,6.95331041942958e-254
"Gpx2",3.1362631270275e-258,-25.5373866375594,0.029,0.272,8.78090950305159e-254
"Rps8",1.68623479854932e-257,-496.258098374404,0.999,1,4.72112018897839e-253
"Lgals4",6.69276792674584e-257,-93.1737751994815,0.022,0.25,1.8738411641303e-252
"Arhgap5",7.54777044195632e-257,-3.65933630479639,0.258,0.581,2.11322476833893e-252
"Epcam",6.23172599417449e-256,-67.752866448369,0.388,0.592,1.74475864384897e-251
"Tpd52",6.92195639663469e-256,-16.6488576813357,0.243,0.537,1.93800935192978e-251
"Plec",9.05918012147159e-256,-4.91375417409161,0.225,0.541,2.53638925040962e-251
"Rps5",3.12346604532373e-255,-494.815573722502,0.986,0.999,8.74508023369737e-251
"Zfp706",5.88830022023216e-255,-41.6496579647171,0.681,0.858,1.6486062956606e-250
"Igf2r",1.20147969177921e-254,-6.87030511447016,0.13,0.425,3.36390284104343e-250
"Lmo7",1.96723526366785e-254,-51.700048275157,0.346,0.604,5.50786529121724e-250
"Cbx6",2.37005650575427e-254,-6.96924784335007,0.326,0.618,6.63568420481082e-250
"Tgfbr2",4.83285661725279e-254,-13.501613412013,0.277,0.582,1.35310319569844e-249
"Mgst3",3.02840480875075e-253,-91.0343109451276,0.353,0.646,8.47892778354036e-249
"Arpc5",3.78723345208619e-253,-14.383938095119,0.649,0.858,1.06034962191509e-248
"Arfgef1",1.14327377090497e-252,-9.52967131778371,0.213,0.508,3.20093790377973e-248
"Rpl27a",1.49383823828191e-252,-421.234385648647,0.998,1,4.1824482995417e-248
"Rps26",1.86160400062038e-251,-278.411322968642,0.971,0.996,5.21211888093695e-247
"Abracl",9.35862766206067e-251,-25.5367768891662,0.551,0.781,2.62022857282375e-246
"Tomm20",1.00253489489936e-250,-25.5270738001242,0.737,0.886,2.80689719873924e-246
"Tjp1",1.68113146423336e-250,-7.09272446561641,0.283,0.585,4.70683187356057e-246
"Spint1",5.09262458116687e-250,-9.27103125339262,0.12,0.403,1.4258330302351e-245
"Txndc17",1.79932623662823e-249,-42.3324765542322,0.636,0.841,5.03775359731171e-245
"Clic1",5.65908165875446e-249,-100.147628954806,0.689,0.868,1.58442968281807e-244
"Tuft1",1.03731374758942e-248,-5.24162370855371,0.061,0.317,2.90427103050086e-244
"Rpl10a",2.66430515133667e-248,-334.675945733737,0.971,0.997,7.4595215627124e-244
"Aff4",2.80955256361288e-248,-5.95755272039157,0.288,0.592,7.86618526760333e-244
"Pbx1",7.3471347675761e-248,-4.76801988682985,0.39,0.684,2.05705079222596e-243
"Ddx46",1.10696164532206e-247,-3.15182871921462,0.234,0.541,3.09927121457271e-243
"Lsm4",1.71224639729295e-247,-20.1495802552223,0.435,0.711,4.79394746314081e-243
"Btbd7",2.02342420380733e-247,-0.840054884653632,0.035,0.276,5.66518308581975e-243
"H3f3b",2.1954762893095e-246,-236.573169067954,0.994,0.999,6.14689451480873e-242
"Atp5g2",2.30878022939245e-246,-128.285843089288,0.876,0.957,6.46412288625297e-242
"Chd4",2.67474422008195e-246,-11.7015394365469,0.401,0.677,7.48874886738544e-242
"Serf2",3.94317473508583e-246,-157.219058786685,0.975,0.996,1.10401006232933e-241
"Kif5b",5.85321582752432e-246,-17.6939243329679,0.589,0.826,1.63878336739026e-241
"Zfp106",6.85345014690636e-246,-2.03899511716228,0.18,0.491,1.91882897213084e-241
"Uqcrh",7.09933843534498e-246,-56.2663999676721,0.931,0.983,1.98767277512789e-241
"Nsa2",1.5487071792204e-245,-17.7073042670525,0.556,0.788,4.33607036038128e-241
"Xist",8.95615073632464e-245,-119.262641548528,0.96,0.969,2.50754308315617e-240
"Rab3d",1.08733195186795e-244,-9.3649179475265,0.095,0.37,3.04431199883988e-240
"Rps20",1.89787550437098e-244,-304.134745837342,0.995,1,5.31367183713788e-240
"Rps6",2.33652639488466e-244,-266.866197714275,0.98,0.999,6.54180660039807e-240
"Fnbp1l",2.71931264423332e-244,-9.51717727381609,0.27,0.576,7.61353154132446e-240
"Eif3c",8.05766840502692e-244,-7.29089371439503,0.468,0.727,2.25598600003944e-239
"Akap9",1.01442548331381e-243,-4.8104583040238,0.374,0.669,2.84018846818201e-239
"Mrps6",2.05382607646957e-243,-16.2389801548391,0.214,0.503,5.75030224889951e-239
"Rpl8",3.37918448133674e-243,-196.177709123801,0.983,0.999,9.4610407108466e-239
"Atox1",8.18679822130444e-243,-82.9242258177836,0.82,0.917,2.29213976600082e-238
"Tmem98",1.50130317130225e-242,-3.2299068778514,0.127,0.407,4.20334861901204e-238
"Gng5",1.91506062752431e-242,-103.845217641317,0.955,0.987,5.36178674494256e-238
"Ndufa4",3.02387431208332e-242,-119.784591840783,0.889,0.956,8.46624329897089e-238
"Dnajc5",7.67347217443824e-242,-15.4236929383189,0.296,0.594,2.14841873939922e-237
"Trip11",8.74642697885506e-242,-2.06061218749658,0.168,0.469,2.44882462553984e-237
"Ash1l",2.416558729753e-241,-3.20927034311431,0.336,0.635,6.76588113156245e-237
"Rbm3",4.94665132106235e-241,-58.8424037873881,0.903,0.978,1.38496343687104e-236
"Uqcr10",7.95602995448184e-241,-74.7706088593183,0.853,0.955,2.22752926665583e-236
"Rpl13a",2.5606618489934e-240,-369.30111402936,0.999,1,7.16934104481171e-236
"Senp6",2.81093547149004e-240,-4.00088793987523,0.365,0.651,7.87005713307783e-236
"Rpl18",3.62575413375477e-240,-255.301955482385,0.985,0.999,1.01513864236866e-235
"Clip1",3.93935262146774e-240,-6.03936676976633,0.205,0.51,1.10293994695854e-235
"Coa3",5.24853056300685e-240,-17.063323162792,0.553,0.762,1.46948358703066e-235
"Gpx1",6.21225676122916e-240,-57.5983511504064,0.702,0.868,1.73930764800894e-235
"Tbca",8.26924087987251e-240,-29.0165541161749,0.835,0.925,2.31522206154671e-235
"Spint2",2.82696836890601e-239,-50.4666262793735,0.594,0.685,7.91494603926306e-235
"Cox8a",3.21673895858194e-239,-149.975827693239,0.963,0.992,9.00622573623772e-235
"Rps18",3.69632910319483e-239,-421.238135501383,0.995,1,1.03489822231249e-234
"Usp34",5.30036695200554e-239,-5.60596472952727,0.295,0.604,1.48399673922251e-234
"Atp1b1",3.28961688150887e-238,-122.454746987732,0.453,0.634,9.21026934484854e-234
"Shfm1",1.22932881227199e-237,-96.5572027733391,0.925,0.983,3.44187480859913e-233
"Klf5",1.2854024448562e-237,-21.4963071351412,0.157,0.44,3.59886976510839e-233
"Ccdc50",2.95767482076847e-237,-3.31754257121684,0.216,0.519,8.28089796318755e-233
"D8Ertd738e",4.54590557121701e-237,-40.2647630278974,0.785,0.913,1.27276264182934e-232
"Tpt1",1.03931492551509e-236,-374.568373409637,0.998,1,2.90987392845716e-232
"Atp5g1",3.99400619900121e-236,-112.475935699631,0.778,0.913,1.11824185559636e-231
"Ncor1",5.47752235694544e-236,-6.50397712304199,0.553,0.787,1.53359670949758e-231
"Efna5",6.08360167154192e-236,-2.70315258744359,0.023,0.241,1.70328679599831e-231
"Gsta1",7.37931940158136e-236,-35.04812624528,0.001,0.17,2.06606184605475e-231
"Rpl7a",7.87991152785214e-236,-175.796251432594,0.976,0.996,2.20621762956804e-231
"Edf1",9.82226377872271e-236,-56.1499393615465,0.81,0.922,2.75003741276678e-231
"Vmp1",1.71663801572358e-235,-9.8483013097916,0.343,0.618,4.80624311642289e-231
"Slc25a24",3.03740306835361e-235,-3.92411881508342,0.072,0.334,8.50412111077642e-231
"Mrpl57",3.35181851710733e-235,-36.5942250256099,0.477,0.715,9.3844214841971e-231
"Hcfc1r1",4.06255991561705e-235,-40.1103633448124,0.582,0.787,1.13743552517446e-230
"Ube2d3",5.23782687130063e-235,-24.3682497553995,0.809,0.922,1.46648676742675e-230
"Pak2",7.06097534609716e-235,-4.46900163170461,0.305,0.597,1.97693187740028e-230
"Snrpe",9.6797837445786e-235,-72.102178651412,0.762,0.906,2.71014585280712e-230
"Wls",1.1108637179359e-234,-13.411873285617,0.496,0.725,3.11019623747693e-230
"Mlph",4.27776175323433e-234,-3.24109758967987,0.032,0.257,1.19768773567055e-229
"Ube2l3",5.55657180370873e-234,-55.1336479767926,0.545,0.783,1.55572897360237e-229
"Fyttd1",8.57162930947903e-234,-3.14313441821886,0.169,0.463,2.39988477406794e-229
"Smdt1",4.3819819330513e-233,-38.8900825005064,0.79,0.919,1.2268673016157e-228
"Rpl4",5.81308517866621e-233,-115.386786832512,0.954,0.995,1.62754758832297e-228
"Sumo2",6.63090079351706e-233,-38.0908509193201,0.898,0.971,1.85651960416891e-228
"Cox7c",2.18919318074316e-232,-260.300888128163,0.944,0.985,6.12930306744468e-228
"Rpl17",2.91814849870699e-232,-285.624735719602,0.998,1,8.17023216667982e-228
"Mbip",7.60293637492837e-232,-37.0534099333599,0.372,0.593,2.12867012625244e-227
"Elf1",1.60758867763075e-231,-10.0976703970179,0.246,0.546,4.50092677963058e-227
"Tpm1",1.90940041109472e-231,-43.2519692751356,0.74,0.907,5.345939270983e-227
"Hmg20b",2.9253390080951e-231,-7.95556829245382,0.408,0.687,8.19036415486467e-227
"Rpl28",5.63548545746712e-231,-276.968631400305,0.994,1,1.57782321838164e-226
"Tmprss2",1.15482157660621e-230,-9.10792290843104,0.123,0.397,3.23326945018207e-226
"Pof1b",1.65697861699994e-230,-2.4189022027525,0.041,0.273,4.63920873187643e-226
"Anxa3",1.7001759657678e-230,-60.5200329759174,0.53,0.747,4.76015266895668e-226
"Mrps14",1.20718201608076e-229,-25.238149785064,0.561,0.79,3.37986820862291e-225
"Golgb1",1.92887667883507e-229,-10.214459877506,0.405,0.67,5.40046892540242e-225
"Srp9",2.1746592455506e-229,-38.3020974362082,0.693,0.854,6.08861095569258e-225
"Tax1bp1",2.09974524166517e-228,-8.18052812458798,0.411,0.686,5.87886672761413e-224
"Atp5j",4.69922440123729e-228,-119.713491417241,0.914,0.975,1.31568884785842e-223
"Chmp3",4.99366050881927e-228,-8.43078153152655,0.323,0.606,1.39812506925922e-223
"Rpl26",8.22979284643385e-228,-358.731100772372,0.997,1,2.30417740114455e-223
"Rpl18a",1.00650968910761e-227,-450.082348119199,0.996,1,2.81802582756347e-223
"H3f3a",2.60743904476946e-227,67.8354833599759,0.989,0.999,7.30030783754552e-223
"Setd5",2.85862044150544e-226,-4.17891934321467,0.332,0.621,8.00356551212692e-222
"Tm4sf1",3.27054998054284e-226,-161.553031402332,0.25,0.555,9.15688583552384e-222
"Tbc1d9",4.45149998433249e-226,-2.55541974668719,0.023,0.233,1.24633096561341e-221
"Mt2",2.32635143035305e-225,-64.8888648731935,0.206,0.51,6.51331873470248e-221
"Akr1a1",6.58081439541402e-225,-53.1616923125306,0.854,0.951,1.84249641442802e-220
"Slc12a2",7.79517712234726e-225,-16.5266678734643,0.23,0.509,2.18249369071479e-220
"Rab2a",7.23228235570079e-224,-17.0021823502296,0.661,0.852,2.02489441394911e-219
"Pik3c2a",1.4816642414772e-223,-6.75014092284572,0.149,0.427,4.14836354328788e-219
"Rps7",2.48665566086527e-223,-259.473113620624,0.972,0.997,6.96213851929059e-219
"AA986860",2.98654730460981e-223,-17.4452566537006,0.152,0.418,8.36173514344656e-219
"Sh2d4a",4.57401217903982e-223,-5.89342542092181,0.122,0.385,1.28063192988757e-218
"Csrp2",5.69214130358646e-223,-28.2087098132232,0.329,0.655,1.59368572217814e-218
"Rplp0",1.35945697167283e-222,-269.751988660792,0.983,1,3.80620762928958e-218
"Vtcn1",1.93472938789418e-222,-0.977267935364221,0.003,0.171,5.41685534022613e-218
